Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
4733203,2020-01-01T03:30:00Z,Strada Urbana,VIA LA SPEZIA,da specificare,,,,alt fermata autobus prima di LARGO BRINDISI,12.5108,41.8857
4733153,2020-01-01T03:50:00Z,Strada Urbana,VIA PRENESTINA,da specificare,,,,alt. Via Pomigliano d'Arco,12.6155,41.8933
4733125,2020-01-01T04:30:00Z,Strada Urbana,VIA APPIA NUOVA,da specificare,,,,altezza via Alba,12.5599,41.8262
4734835,2020-01-01T04:40:00Z,Strada Urbana,VIA DEGLI ALDOBRANDESCHI,all'intersezione con,VIA DI VILLA TROILI,VIA DI VILLA TROILI,,,12.3987,41.8791
4733336,2020-01-01T05:30:00Z,Strada Urbana,PIAZZA DI PORTA CAPENA,all'intersezione semaforizzata con,LARGO DELLE VITTIME DEL TERRORISMO,LARGO DELLE VITTIME DEL TERRORISMO,,,12.4901,41.8835
4733144,2020-01-01T05:50:00Z,Strada Urbana,VIA CASSIA,all'intersezione semaforizzata con,VIA DEI DUE PONTI,VIA DEI DUE PONTI,,,12.447,41.9633
4733439,2020-01-01T07:00:00Z,Strada Urbana,VIA LAURENTINA,da specificare,,,,rotatoria Via Tor Pagnotta dir. GRA,12.4822,41.8032
4733281,2020-01-01T07:35:00Z,Strada Urbana,VIALE CRISTOFORO COLOMBO,all'intersezione semaforizzata con,VIALE DELLA CIVILTA' DEL LAVORO,VIALE DELLA CIVILTA' DEL LAVORO,,,12.4713,41.835
4733169,2020-01-01T08:45:00Z,Strada Urbana,PIAZZALE LABICANO,all'intersezione con,VIALE DELLO SCALO S. LORENZO,VIALE DELLO SCALO S. LORENZO,,,12.5155,41.8922
4733334,2020-01-01T14:30:00Z,Strada Urbana,VIA DELLA GIUSTINIANA,all'intersezione con,VIA PIADENA,VIA PIADENA,,,12.4552,41.9947
4734431,2020-01-01T17:05:00Z,Strada Urbana,VIA TEODORICO,da specificare,,,,altezza Via Lorenzo il Magnifico,12.528,41.9111
4733178,2020-01-01T17:50:00Z,Strada Urbana,VIA IGINO GIORDANI,all'intersezione con,PIAZZA EDOARDO PERSICO,PIAZZA EDOARDO PERSICO,,,12.5597,41.9062
4733724,2020-01-01T21:30:00Z,Strada Urbana,VIA DI VILLA ADA,all'intersezione con,VIA LARIANA,VIA LARIANA,,,12.5052,41.9245
4733366,2020-01-01T21:40:00Z,Strada Urbana,PIAZZALE OSTIENSE,all'intersezione semaforizzata con,VIA RAFFAELE PERSICHETTI,VIA RAFFAELE PERSICHETTI,,,12.4819,41.8763
4733218,2020-01-01T23:30:00Z,,VIA APPIA NUOVA,all'intersezione con,VIA DON ORIONE,VIA DON ORIONE,,,12.5169,41.8794
4733194,2020-01-01T23:45:00Z,Strada Urbana,VIA DEI MONTI TIBURTINI,all'intersezione semaforizzata con,VIA FILIPPO MEDA,VIA FILIPPO MEDA,,,12.5476,41.9156
4733149,2020-01-01T23:50:00Z,Strada Urbana,VIA CASILINA,all'intersezione con,VIA ENRICO GIGLIOLI,VIA ENRICO GIGLIOLI,,,12.6199,41.8628
4733449,2020-01-02T00:10:00Z,Strada Urbana,VIA DEL VIMINALE,all'intersezione con,VIA TORINO,VIA TORINO,,,12.4963,41.9005
4733793,2020-01-02T02:00:00Z,Strada Urbana,VIA GIOVANNI VITELLESCHI,all'intersezione con,VIA DEI BASTIONI,VIA DEI BASTIONI,,,12.462,41.9046
4733166,2020-01-02T06:40:00Z,Strada Urbana,VIA MACEDONIA,all'intersezione semaforizzata con,VIA LATINA,VIA LATINA,,,12.5118,41.8737
4734489,2020-01-02T07:30:00Z,Strada Urbana,PIAZZALE DI PORTA PIA,all'intersezione semaforizzata con,CORSO D'ITALIA,CORSO D'ITALIA,,,12.5014,41.9096
4734359,2020-01-02T10:00:00Z,Strada Urbana,VIA FABRIZIO LUSCINO,all'intersezione con,VIA LUCIO SESTIO,VIA LUCIO SESTIO,,,12.5542,41.8568
4733520,2020-01-02T10:10:00Z,Strada Urbana,PIAZZA BUENOS AIRES,all'intersezione semaforizzata con,VIA PO,VIA PO,,,12.5002,41.9182
4733770,2020-01-02T10:10:00Z,Strada Urbana,PIAZZA DEI GIURECONSULTI,all'intersezione con,VIA DI BOCCEA,VIA DI BOCCEA,,,12.4257,41.9019
4734361,2020-01-02T10:30:00Z,Strada Urbana,VIA DI PORTONACCIO,da specificare,,,,prossimità via di Casal Bertone,12.5378,41.8991
4734580,2020-01-02T10:45:00Z,Strada Urbana,VIA MARCANTONIO COLONNA,all'intersezione con,VIA DEGLI SCIPIONI,VIA DEGLI SCIPIONI,,,12.4666,41.9106
4734537,2020-01-02T11:05:00Z,Strada Urbana,PIAZZA DELLE CINQUE GIORNATE,all'intersezione con,VIALE DELLE MILIZIE,VIALE DELLE MILIZIE,,,12.4695,41.914
4734304,2020-01-02T11:45:00Z,Strada Urbana,VIA PRENESTINA,all'intersezione con,VIA DI TOR SAPIENZA,VIA DI TOR SAPIENZA,,,12.5924,41.8941
4734654,2020-01-02T11:50:00Z,Strada Urbana,CIRCONVALLAZIONE GIANICOLENSE,all'intersezione con,VIA BERNARDINO RAMAZZINI,VIA BERNARDINO RAMAZZINI,,,12.4496,41.8725
4734314,2020-01-02T12:00:00Z,Strada Urbana,VIA DELLA MAGLIANA,da specificare,,,,prox. civ. 313 (curva per Viadotto della Magliana),12.4196,41.8317
4734002,2020-01-02T14:00:00Z,Strada Urbana,VICOLO DI PAPA LEONE,all'intersezione con,VIALE ISACCO NEWTON,VIALE ISACCO NEWTON,,,12.4447,41.8434
4735006,2020-01-02T17:15:00Z,Strada Urbana,VIALE ANGELICO,all'intersezione semaforizzata con,VIALE CARSO,VIALE CARSO,,,12.4588,41.9189
4734299,2020-01-02T18:51:00Z,Strada Urbana,VIALE DUILIO CAMBELLOTTI,da specificare,,,,dir. Oxford uscita Via Casilina,12.6297,41.8674
4734380,2020-01-02T19:35:00Z,Strada Urbana,VIA MATTIA BATTISTINI,all'intersezione con,VIA ENNIO BONIFAZI,VIA ENNIO BONIFAZI,,,12.4184,41.9139
4734354,2020-01-02T20:05:00Z,Strada Urbana,VIA STEFANO BORGIA,all'intersezione con,VIA BEATA VIRGINIA CENTURIONE BRACELLI,VIA BEATA VIRGINIA CENTURIONE BRACELLI,,,12.417,41.9199
4735633,2020-01-03T08:20:00Z,Strada Urbana,VIA ITALO PANATTONI,all'intersezione con,VIA DELL'ACQUA TRAVERSA,VIA DELL'ACQUA TRAVERSA,,,12.4462,41.9591
4739190,2020-01-03T08:30:00Z,Strada Urbana,VIA DEGLI ALDOBRANDESCHI,all'intersezione con,VIA DELLA VIGNACCIA,VIA DELLA VIGNACCIA,,,12.3987,41.8791
4734713,2020-01-03T09:15:00Z,Strada Urbana,PIAZZA DI S. MARTINO AI MONTI,all'intersezione con,VIA GIOVANNI LANZA,VIA GIOVANNI LANZA,,,12.4979,41.895
4738669,2020-01-03T09:15:00Z,Strada Urbana,VIA CAMESENA,all'intersezione con,LARGO CAMESENA,LARGO CAMESENA,,,12.5348,41.9091
4734579,2020-01-03T09:55:00Z,Strada Urbana,VIA CINCINNATO,all'intersezione con,VIA CERERE,VIA CERERE,,,12.5485,41.8667
4739201,2020-01-03T11:40:00Z,Strada Urbana,VIA BERNARDINO RAMAZZINI,all'intersezione semaforizzata con,VIA DI VAL TELLINA,VIA DI VAL TELLINA,,,12.4505,41.8666
4735101,2020-01-03T11:50:00Z,Strada Urbana,PIAZZA DI PORTA CAPENA,all'intersezione semaforizzata con,VIALE AVENTINO,VIALE AVENTINO,,,12.489,41.8842
4735657,2020-01-03T11:55:00Z,Strada Urbana,VIALE DELL'OCEANO PACIFICO,all'intersezione con,VIALE DEI PRIMATI SPORTIVI,VIALE DEI PRIMATI SPORTIVI,,,12.4587,41.8225
4736637,2020-01-03T12:50:00Z,Strada Urbana,VIA QUINTO PUBLICIO,all'intersezione con,VIA VINCENZO LAMARO,VIA VINCENZO LAMARO,,,12.5754,41.8561
4736639,2020-01-03T13:00:00Z,Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA LUCIO SESTIO,VIA LUCIO SESTIO,,,12.557,41.8597
4735093,2020-01-03T13:30:00Z,Strada Urbana,VIA DI BOCCEA,all'intersezione con,VIA DEL QUARTACCIO,VIA DEL QUARTACCIO,,,12.3847,41.9149
4736181,2020-01-03T13:30:00Z,Strada Urbana,VIALE DELLE MILIZIE,da specificare,,,,ALTEZZA VIA GIUSEPPE FERRARI,12.4653,41.9129
4736704,2020-01-03T13:30:00Z,Strada Urbana,VIA DOMENICO TARDINI,all'intersezione con,VIA FRANCESCO ALBERGOTTI,VIA FRANCESCO ALBERGOTTI,,,12.4254,41.9045
4736292,2020-01-03T13:35:00Z,Strada Urbana,VIA ARTURO GRAF,all'intersezione con,VIA NOMENTANA,VIA NOMENTANA,,,12.5728,41.9579
4735631,2020-01-03T16:30:00Z,Strada Urbana,PIAZZALE OSTIENSE,all'intersezione con,VIALE MARCO POLO,VIALE MARCO POLO,,,12.4832,41.8761
4736308,2020-01-03T17:00:00Z,Provinciale entro l'abitato,VIA NOMENTANA,da specificare,,,,all'intersezione con LARGO GIAMPIERO ARCI,12.5673,41.9507
4735669,2020-01-03T17:30:00Z,Strada Urbana,VIA TEVERE,all'intersezione con,VIA ANIENE,VIA ANIENE,,,12.4969,41.9117
4735604,2020-01-03T17:35:00Z,Strada Urbana,VIA ALBANO,all'intersezione con,VIA GENZANO,VIA GENZANO,,,12.5322,41.8696
4739245,2020-01-03T18:40:00Z,Strada Urbana,CIRCONVALLAZIONE GIANICOLENSE,all'intersezione semaforizzata con,VIA DI MONTE VERDE,VIA DI MONTE VERDE,,,12.4496,41.8725
4739074,2020-01-03T18:50:00Z,Strada Urbana,VIA FRANCESCO VITALINI,all'intersezione con,VIA PIETRO CASTELLI,VIA PIETRO CASTELLI,,,12.6101,41.9075
4735559,2020-01-03T19:35:00Z,Strada Urbana,VIA LUDOVISI,all'intersezione con,VIA VITTORIO VENETO,VIA VITTORIO VENETO,,,12.4899,41.9074
4735608,2020-01-03T20:50:00Z,Strada Urbana,VIA DI TOR BELLA MONACA,all'intersezione con,VIA AMICO ASPERTINI,VIA AMICO ASPERTINI,,,12.6281,41.8764
4735602,2020-01-03T23:10:00Z,Strada Urbana,VIALE LEONARDO DA VINCI,all'intersezione semaforizzata con,LARGO LEONARDO DA VINCI,LARGO LEONARDO DA VINCI,,,12.4809,41.8568
4738433,2020-01-04T01:00:00Z,Strada Urbana,VIA NOMENTANA,all'intersezione semaforizzata con,VIALE REGINA MARGHERITA,VIALE REGINA MARGHERITA,,,12.5067,41.9129
4738766,2020-01-04T03:30:00Z,Strada Urbana,VIA MORROVALLE,all'intersezione con,VIA PIEVEBOVIGLIANA,VIA PIEVEBOVIGLIANA,,,12.586,41.9398
4738798,2020-01-04T06:15:00Z,Strada Urbana,VIA TIBURTINA,all'intersezione con,VIA SAMBUCI,VIA SAMBUCI,,,12.6125,41.9359
4735851,2020-01-04T08:50:00Z,Strada Urbana,PIAZZA PAOLO DIACONO,da specificare,,,,fronte VIA CESARE BARONIO,12.5163,41.8699
4736224,2020-01-04T09:40:00Z,Strada Urbana,VIALE DELLA SORBONA,da specificare,,,,prossimità via stanford,12.612,41.8546
4735877,2020-01-04T11:10:00Z,Statale entro l'abitato,VIA CASILINA,all'intersezione semaforizzata con,VIA DI CENTOCELLE,VIA DI CENTOCELLE,,,12.553,41.8767
4736319,2020-01-04T11:40:00Z,Strada Urbana,VIA DELLE VIGNE NUOVE,all'intersezione con,VIALE FRANCESCO PASINETTI,VIALE FRANCESCO PASINETTI,,,12.5358,41.9554
4738797,2020-01-04T14:20:00Z,Strada Urbana,VIA DI TOR CERVARA,all'intersezione con,VIA COMASTA,VIA COMASTA,,,12.5895,41.9183
4738805,2020-01-04T14:45:00Z,Strada Urbana,VIA DELLA VANGA,all'intersezione con,VIA DEL BADILE,VIA DEL BADILE,,,12.5629,41.9111
4738744,2020-01-04T15:45:00Z,Strada Urbana,VIALE VAL PADANA,all'intersezione con,VIA VALLE VERMIGLIO,VIA VALLE VERMIGLIO,,,12.5231,41.9426
4738854,2020-01-04T15:55:00Z,Strada Urbana,VIA DEI GRACCHI,all'intersezione con,VIA SILLA,VIA SILLA,,,12.46,41.9074
4738928,2020-01-04T16:09:00Z,Strada Urbana,VIA SABOTINO,all'intersezione con,VIA MONTE SANTO,VIA MONTE SANTO,,,12.4602,41.9168
